"_id","requests","concurrent_users","arrival_rate","response_time","data_payload","predicted_p_s","predicted_W","predicted_gamma","date","cycle"
"ObjectId(""5f685bd4be76ed731c6efa79"")",20,5,91.07,54.904,589,0.002084570729460507,6.449089376125483,3.194420930102306,"2020-09-21T07:52:52.779Z",869
"ObjectId(""5f685b95be76ed731c6efa78"")",100,20,90.33,221.405,589,0.002096167579321554,6.161221440859604,3.361005319201394,"2020-09-21T07:51:49.702Z",868
"ObjectId(""5f685abbbe76ed731c6efa77"")",100,10,94.74,105.55,589,0.0021596306621525117,8.533747794395548,3.358002552083335,"2020-09-21T07:48:11.287Z",867
"ObjectId(""5f685a7bbe76ed731c6efa76"")",160,20,92.25,216.791,589,0.0021159476441396483,7.28718120452009,3.145961392713387,"2020-09-21T07:47:07.298Z",866
"ObjectId(""5f6859a7be76ed731c6efa75"")",300,30,91.92,326.37,589,0.0023782567462180128,8.031061519995882,3.530576218479074,"2020-09-21T07:43:35.267Z",865
"ObjectId(""5f685965be76ed731c6efa74"")",400,50,91.5,546.477,589,0.002175927125666564,5.317020886520942,3.5630259611448336,"2020-09-21T07:42:29.441Z",864
"ObjectId(""5f685922be76ed731c6efa73"")",1000,100,88.28,1132.746,589,0.0021106519148226875,5.714282738430125,3.3345230030782407,"2020-09-21T07:41:22.588Z",863
"ObjectId(""5f68584cbe76ed731c6efa72"")",20,5,92,54.348,589,0.0020790973930081983,5.204089412879277,3.2032287437690705,"2020-09-21T07:37:48.147Z",862
"ObjectId(""5f68580dbe76ed731c6efa71"")",100,20,90.95,219.89,589,0.0020782947850921767,5.1068233358856725,3.262833130043002,"2020-09-21T07:36:45.010Z",861
"ObjectId(""5f6857cbbe76ed731c6efa70"")",100,10,92.58,108.014,589,0.002130014210633226,8.193310428907354,3.187922492064862,"2020-09-21T07:35:39.432Z",860
"ObjectId(""5f685711be76ed731c6efa6f"")",160,20,94.23,212.243,589,0.0021923852720686023,6.510492925377955,3.270191870290365,"2020-09-21T07:32:33.786Z",859
"ObjectId(""5f6856d1be76ed731c6efa6e"")",300,30,91.21,328.929,589,0.002309583312521072,7.178135894837607,3.430084379081783,"2020-09-21T07:31:29.542Z",858
"ObjectId(""5f68568ebe76ed731c6efa6d"")",400,50,90.38,553.248,589,0.002157516585346358,7.912600050116777,3.27725525875659,"2020-09-21T07:30:22.915Z",857
"ObjectId(""5f6855c2be76ed731c6efa6c"")",1000,100,89.48,1117.535,589,0.0022358799790609817,6.266785148123962,3.370960345616679,"2020-09-21T07:26:58.060Z",856
"ObjectId(""5f685577be76ed731c6efa6b"")",20,5,82.97,60.263,589,0.002305610464914142,5.840493441540918,3.4379298947273003,"2020-09-21T07:25:43.932Z",855
"ObjectId(""5f685538be76ed731c6efa6a"")",100,20,91.05,219.662,589,0.002112629466231215,7.419705868992741,3.2274968650553593,"2020-09-21T07:24:40.317Z",854
"ObjectId(""5f685487be76ed731c6efa69"")",100,10,94.25,106.105,589,0.002105480293510476,6.279084678914894,3.3040149347579386,"2020-09-21T07:21:43.152Z",853
"ObjectId(""5f685446be76ed731c6efa68"")",160,20,94.97,210.591,589,0.00211159653901368,7.906050909834455,3.32743875276009,"2020-09-21T07:20:38.789Z",852
"ObjectId(""5f685405be76ed731c6efa67"")",300,30,88.75,338.012,589,0.0022347218801228893,6.463320984130744,3.3880791169781213,"2020-09-21T07:19:33.610Z",851
"ObjectId(""5f685336be76ed731c6efa66"")",400,50,90.21,554.273,589,0.0023313839274234456,5.527930970609945,3.4788224560930616,"2020-09-21T07:16:06.369Z",850
"ObjectId(""5f6852f3be76ed731c6efa65"")",1000,100,87.41,1144.067,589,0.0022752344862679748,5.628213377720309,3.430062195858635,"2020-09-21T07:14:59.387Z",849
"ObjectId(""5f6852a8be76ed731c6efa64"")",20,5,81.17,61.602,589,0.002183748810402903,5.050947571785705,3.2755548019571945,"2020-09-21T07:13:44.639Z",848
"ObjectId(""5f6851dabe76ed731c6efa63"")",100,20,85.26,234.579,589,0.00208773478262566,4.6426522911757475,3.201205012108696,"2020-09-21T07:10:18.635Z",847
"ObjectId(""5f685196be76ed731c6efa62"")",100,10,94.7,105.597,589,0.0021596306621525117,8.530144776538506,3.358002552083335,"2020-09-21T07:09:10.575Z",846
"ObjectId(""5f685156be76ed731c6efa61"")",160,20,89.41,223.688,589,0.0021266739846288107,4.6135775982368035,3.418300116339238,"2020-09-21T07:08:06.497Z",845
"ObjectId(""5f685116be76ed731c6efa60"")",300,30,89.32,335.869,589,0.0020915187010327185,5.285296284938422,3.515389632489912,"2020-09-21T07:07:02.004Z",844
"ObjectId(""5f685092be76ed731c6efa5f"")",400,50,90.9,550.046,589,0.0020836853554743796,6.239887926600507,3.353328524111439,"2020-09-21T07:04:50.267Z",843
"ObjectId(""5f68504fbe76ed731c6efa5e"")",1000,100,90.44,1105.664,589,0.0021018874579598885,5.021416899575798,3.32369876934233,"2020-09-21T07:03:43.085Z",842
"ObjectId(""5f685004be76ed731c6efa5d"")",20,5,84.85,58.925,589,0.0022106882335899258,6.971417328121268,3.290523979991234,"2020-09-21T07:02:28.748Z",841
"ObjectId(""5f684fc5be76ed731c6efa5c"")",100,20,92.51,216.191,589,0.00208086594320152,5.615139138520905,3.254484862995052,"2020-09-21T07:01:25.489Z",840
"ObjectId(""5f684f83be76ed731c6efa5b"")",100,10,90.2,110.866,589,0.002171775200126919,7.4455744751996535,3.388025101910759,"2020-09-21T07:00:19.924Z",839
"ObjectId(""5f684f44be76ed731c6efa5a"")",160,20,89.34,223.868,589,0.0020915187010327185,5.286479736860714,3.515389632489912,"2020-09-21T06:59:16.072Z",838
"ObjectId(""5f684f03be76ed731c6efa59"")",300,30,89.04,336.915,589,,,,"2020-09-21T06:58:11.880Z",837
"ObjectId(""5f684e1dbe76ed731c6efa58"")",400,50,88.84,562.834,589,0.0021889210858030183,6.671528848620593,3.558611017677408,"2020-09-21T06:54:21.820Z",836
"ObjectId(""5f684ddabe76ed731c6efa57"")",1000,100,90.46,1105.468,589,0.0021018874579598885,5.022527341172341,3.32369876934233,"2020-09-21T06:53:14.455Z",835
"ObjectId(""5f684d90be76ed731c6efa56"")",20,5,82.61,60.526,589,0.002093534551138333,6.3053485719016,3.23150667919772,"2020-09-21T06:52:00.707Z",834
"ObjectId(""5f684d50be76ed731c6efa55"")",100,20,89.68,223.021,589,0.0021715616881533926,7.314250152277374,3.5048136843047755,"2020-09-21T06:50:56.085Z",833
"ObjectId(""5f684d0fbe76ed731c6efa54"")",100,10,89.11,112.22,589,0.002123581370080122,5.85638192773023,3.2351676302102175,"2020-09-21T06:49:51.804Z",832
"ObjectId(""5f684cd0be76ed731c6efa53"")",160,20,90.15,221.851,589,0.0021049526849795342,4.8787916453546,3.318725938147457,"2020-09-21T06:48:48.299Z",831
"ObjectId(""5f684c8fbe76ed731c6efa52"")",300,30,89.99,333.376,589,0.0021567179232228934,4.864042678198231,3.245673942943411,"2020-09-21T06:47:43.840Z",830
"ObjectId(""5f684c4dbe76ed731c6efa51"")",400,50,89.55,558.343,589,0.0021084822849288557,5.074943688488588,3.2922895974977457,"2020-09-21T06:46:37.572Z",829
"ObjectId(""5f684c07be76ed731c6efa50"")",1000,100,87.8,1138.941,589,0.002093105596179233,7.856954055300466,3.487878855466039,"2020-09-21T06:45:27.477Z",828
"ObjectId(""5f684bbdbe76ed731c6efa4f"")",20,5,81.22,61.561,589,0.002142025351230434,4.721078133537269,3.2205463954801483,"2020-09-21T06:44:13.014Z",827
"ObjectId(""5f684b7dbe76ed731c6efa4e"")",100,20,95.04,210.443,589,0.0021707587747758334,7.123196826232811,3.291171421785005,"2020-09-21T06:43:09.557Z",826
"ObjectId(""5f684b3dbe76ed731c6efa4d"")",100,10,94.15,106.218,589,0.00227702658859696,6.425107438147293,3.379288807301238,"2020-09-21T06:42:05.269Z",825
"ObjectId(""5f684afdbe76ed731c6efa4c"")",160,20,91.99,217.405,589,,,,"2020-09-21T06:41:01.776Z",824
"ObjectId(""5f684ab6be76ed731c6efa4b"")",300,30,91.97,326.179,589,0.002137912100619202,5.117976750623532,3.2409970722005976,"2020-09-21T06:39:50.423Z",823
"ObjectId(""5f684a74be76ed731c6efa4a"")",400,50,87.56,571.061,589,0.002073280157355247,3.789550671509499,3.849250406212521,"2020-09-21T06:38:44.041Z",822
"ObjectId(""5f684a30be76ed731c6efa49"")",1000,100,90.31,1107.331,589,0.002096287125847137,5.800806646528161,3.2329789374122218,"2020-09-21T06:37:36.366Z",821
"ObjectId(""5f6849e6be76ed731c6efa48"")",20,5,80.13,62.398,589,0.0021294104234616277,4.7191691572382,3.3983209454792953,"2020-09-21T06:36:22.571Z",820
"ObjectId(""5f6849a7be76ed731c6efa47"")",100,20,95.35,209.757,589,0.0022543505552102346,6.404011318776882,3.988190059037901,"2020-09-21T06:35:19.898Z",819
"ObjectId(""5f684968be76ed731c6efa46"")",100,10,91.55,109.233,589,0.0020887040485980993,6.351068641572257,3.1882891968749463,"2020-09-21T06:34:16.098Z",818
"ObjectId(""5f684925be76ed731c6efa45"")",160,20,93.6,213.671,589,0.0020998436441513066,8.142520905538987,3.3493400722199516,"2020-09-21T06:33:09.598Z",817
"ObjectId(""5f6848e5be76ed731c6efa44"")",300,30,91.62,327.432,589,0.00210981018852613,5.830530430084004,3.18077628352387,"2020-09-21T06:32:05.040Z",816
"ObjectId(""5f6848a0be76ed731c6efa43"")",400,50,90.71,551.192,589,0.002095020094645663,6.553031841447853,3.2428675650653305,"2020-09-21T06:30:56.055Z",815
"ObjectId(""5f68485cbe76ed731c6efa42"")",1000,100,87.59,1141.622,589,0.002073280157355247,3.7908490557048546,3.849250406212521,"2020-09-21T06:29:48.809Z",814
"ObjectId(""5f684812be76ed731c6efa41"")",20,5,80.95,61.767,589,0.0020797079008835757,4.839083786345059,3.178072638481856,"2020-09-21T06:28:34.772Z",813
"ObjectId(""5f6847d4be76ed731c6efa40"")",100,20,90.53,220.909,589,0.0021467326418880862,5.635244633409819,3.1923158420615847,"2020-09-21T06:27:32.009Z",812
