"_id","replicas","date","cycle"
"ObjectId(""60780f175e0fe5577e138313"")",10,"2021-04-15T10:01:59.100Z",1
"ObjectId(""60780f675e0fe5577e138315"")",10,"2021-04-15T10:03:19.873Z",2
"ObjectId(""60780f6a5e0fe5577e138317"")",10,"2021-04-15T10:03:22.316Z",2
"ObjectId(""60780fba5e0fe5577e138319"")",10,"2021-04-15T10:04:42.997Z",3
"ObjectId(""60780fbd5e0fe5577e13831b"")",10,"2021-04-15T10:04:45.537Z",3
"ObjectId(""6078100e5e0fe5577e13831d"")",10,"2021-04-15T10:06:06.358Z",4
"ObjectId(""607810105e0fe5577e13831f"")",10,"2021-04-15T10:06:08.913Z",4
"ObjectId(""607810615e0fe5577e138321"")",10,"2021-04-15T10:07:29.646Z",5
"ObjectId(""607810645e0fe5577e138323"")",10,"2021-04-15T10:07:32.299Z",5
"ObjectId(""607810b45e0fe5577e138325"")",10,"2021-04-15T10:08:52.984Z",6
"ObjectId(""607810b75e0fe5577e138327"")",10,"2021-04-15T10:08:55.616Z",6
"ObjectId(""607811085e0fe5577e138329"")",10,"2021-04-15T10:10:16.263Z",7
"ObjectId(""6078110a5e0fe5577e13832b"")",10,"2021-04-15T10:10:18.772Z",7
"ObjectId(""6078115b5e0fe5577e13832d"")",10,"2021-04-15T10:11:39.407Z",8
"ObjectId(""6078115e5e0fe5577e13832f"")",10,"2021-04-15T10:11:42.017Z",8
"ObjectId(""607811ae5e0fe5577e138331"")",10,"2021-04-15T10:13:02.886Z",9
"ObjectId(""607811b15e0fe5577e138333"")",10,"2021-04-15T10:13:05.359Z",9
"ObjectId(""607812025e0fe5577e138335"")",10,"2021-04-15T10:14:26.025Z",10
"ObjectId(""607812045e0fe5577e138337"")",10,"2021-04-15T10:14:28.490Z",10
"ObjectId(""607812555e0fe5577e138339"")",10,"2021-04-15T10:15:49.202Z",11
"ObjectId(""607812575e0fe5577e13833b"")",10,"2021-04-15T10:15:51.872Z",11
"ObjectId(""607812a85e0fe5577e13833d"")",10,"2021-04-15T10:17:12.488Z",12
"ObjectId(""607812aa5e0fe5577e13833f"")",10,"2021-04-15T10:17:14.921Z",12
"ObjectId(""607812fb5e0fe5577e138341"")",10,"2021-04-15T10:18:35.516Z",13
"ObjectId(""607812fd5e0fe5577e138343"")",10,"2021-04-15T10:18:37.880Z",13
"ObjectId(""6078134e5e0fe5577e138345"")",10,"2021-04-15T10:19:58.532Z",14
"ObjectId(""607813515e0fe5577e138347"")",10,"2021-04-15T10:20:01.076Z",14
"ObjectId(""607813a15e0fe5577e138349"")",10,"2021-04-15T10:21:21.625Z",15
"ObjectId(""607813a45e0fe5577e13834b"")",10,"2021-04-15T10:21:24.042Z",15
"ObjectId(""607813f45e0fe5577e13834d"")",10,"2021-04-15T10:22:44.734Z",16
"ObjectId(""607813f75e0fe5577e13834f"")",10,"2021-04-15T10:22:47.230Z",16
"ObjectId(""607814485e0fe5577e138351"")",10,"2021-04-15T10:24:08.052Z",17
"ObjectId(""6078144a5e0fe5577e138353"")",10,"2021-04-15T10:24:10.714Z",17
"ObjectId(""6078149b5e0fe5577e138355"")",10,"2021-04-15T10:25:31.435Z",18
"ObjectId(""6078149e5e0fe5577e138357"")",10,"2021-04-15T10:25:34.109Z",18
"ObjectId(""607814ee5e0fe5577e138359"")",10,"2021-04-15T10:26:54.782Z",19
"ObjectId(""607814f15e0fe5577e13835b"")",10,"2021-04-15T10:26:57.295Z",19
"ObjectId(""607815415e0fe5577e13835d"")",10,"2021-04-15T10:28:17.938Z",20
"ObjectId(""607815445e0fe5577e13835f"")",10,"2021-04-15T10:28:20.392Z",20
"ObjectId(""607815955e0fe5577e138361"")",10,"2021-04-15T10:29:41.058Z",21
"ObjectId(""607815975e0fe5577e138363"")",10,"2021-04-15T10:29:43.586Z",21
"ObjectId(""607815e85e0fe5577e138365"")",10,"2021-04-15T10:31:04.164Z",22
"ObjectId(""607815ea5e0fe5577e138367"")",10,"2021-04-15T10:31:06.793Z",22
"ObjectId(""6078163b5e0fe5577e138369"")",10,"2021-04-15T10:32:27.580Z",23
"ObjectId(""6078163e5e0fe5577e13836b"")",10,"2021-04-15T10:32:30.098Z",23
"ObjectId(""6078168e5e0fe5577e13836d"")",10,"2021-04-15T10:33:50.764Z",24
"ObjectId(""607816915e0fe5577e13836f"")",10,"2021-04-15T10:33:53.265Z",24
"ObjectId(""607816e15e0fe5577e138371"")",10,"2021-04-15T10:35:13.932Z",25
"ObjectId(""607816e45e0fe5577e138373"")",10,"2021-04-15T10:35:16.487Z",25
"ObjectId(""607817355e0fe5577e138375"")",10,"2021-04-15T10:36:37.209Z",26
"ObjectId(""607817375e0fe5577e138377"")",10,"2021-04-15T10:36:39.911Z",26
"ObjectId(""607817885e0fe5577e138379"")",10,"2021-04-15T10:38:00.553Z",27
"ObjectId(""6078178b5e0fe5577e13837b"")",10,"2021-04-15T10:38:03.075Z",27
"ObjectId(""607817db5e0fe5577e13837d"")",10,"2021-04-15T10:39:23.693Z",28
"ObjectId(""607817de5e0fe5577e13837f"")",10,"2021-04-15T10:39:26.212Z",28
"ObjectId(""6078182e5e0fe5577e138381"")",10,"2021-04-15T10:40:46.933Z",29
"ObjectId(""607818315e0fe5577e138383"")",10,"2021-04-15T10:40:49.467Z",29
"ObjectId(""607818825e0fe5577e138385"")",10,"2021-04-15T10:42:10.343Z",30
"ObjectId(""607818cd5e0fe5577e138387"")",10,"2021-04-15T10:43:25.067Z",30
"ObjectId(""6078191d5e0fe5577e138389"")",10,"2021-04-15T10:44:45.676Z",31
"ObjectId(""607819205e0fe5577e13838b"")",10,"2021-04-15T10:44:48.063Z",31
"ObjectId(""607819705e0fe5577e13838d"")",10,"2021-04-15T10:46:08.780Z",32
"ObjectId(""607819735e0fe5577e13838f"")",10,"2021-04-15T10:46:11.336Z",32
"ObjectId(""607819c45e0fe5577e138391"")",10,"2021-04-15T10:47:32.021Z",33
"ObjectId(""60781a305e0fe5577e138393"")",10,"2021-04-15T10:49:20.494Z",33
"ObjectId(""60781a815e0fe5577e138395"")",10,"2021-04-15T10:50:41.153Z",34
"ObjectId(""60781a835e0fe5577e138397"")",10,"2021-04-15T10:50:43.951Z",34
"ObjectId(""60781ad45e0fe5577e138399"")",10,"2021-04-15T10:52:04.553Z",35
"ObjectId(""60781ad65e0fe5577e13839b"")",10,"2021-04-15T10:52:06.967Z",35
"ObjectId(""60781b275e0fe5577e13839d"")",10,"2021-04-15T10:53:27.574Z",36
"ObjectId(""60781b6a5e0fe5577e13839f"")",10,"2021-04-15T10:54:34.660Z",36
"ObjectId(""60781bbb5e0fe5577e1383a1"")",10,"2021-04-15T10:55:55.371Z",37
"ObjectId(""60781bbd5e0fe5577e1383a3"")",10,"2021-04-15T10:55:57.857Z",37
"ObjectId(""60781c0e5e0fe5577e1383a5"")",10,"2021-04-15T10:57:18.607Z",38
"ObjectId(""60781c8d5e0fe5577e1383a7"")",10,"2021-04-15T10:59:25.337Z",38
"ObjectId(""60781cde5e0fe5577e1383a9"")",10,"2021-04-15T11:00:46.056Z",39
"ObjectId(""60781ce05e0fe5577e1383ab"")",10,"2021-04-15T11:00:48.663Z",39
"ObjectId(""60781d315e0fe5577e1383ad"")",10,"2021-04-15T11:02:09.408Z",40
"ObjectId(""60781d335e0fe5577e1383af"")",10,"2021-04-15T11:02:11.880Z",40
"ObjectId(""60781d845e0fe5577e1383b1"")",10,"2021-04-15T11:03:32.558Z",41
"ObjectId(""60781dc35e0fe5577e1383b3"")",10,"2021-04-15T11:04:35.509Z",41
"ObjectId(""60781e145e0fe5577e1383b5"")",10,"2021-04-15T11:05:56.195Z",42
"ObjectId(""60781e165e0fe5577e1383b7"")",10,"2021-04-15T11:05:58.814Z",42
"ObjectId(""60781e675e0fe5577e1383b9"")",10,"2021-04-15T11:07:19.531Z",43
"ObjectId(""60781e6a5e0fe5577e1383bb"")",10,"2021-04-15T11:07:22.113Z",43
"ObjectId(""60781eba5e0fe5577e1383bd"")",10,"2021-04-15T11:08:42.865Z",44
"ObjectId(""60781f205e0fe5577e1383bf"")",10,"2021-04-15T11:10:24.760Z",44
"ObjectId(""60781f715e0fe5577e1383c1"")",10,"2021-04-15T11:11:45.381Z",45
"ObjectId(""60781f735e0fe5577e1383c3"")",10,"2021-04-15T11:11:47.843Z",45
"ObjectId(""60781fc45e0fe5577e1383c5"")",10,"2021-04-15T11:13:08.524Z",46
"ObjectId(""60781fc65e0fe5577e1383c7"")",10,"2021-04-15T11:13:10.905Z",46
"ObjectId(""607820175e0fe5577e1383c9"")",10,"2021-04-15T11:14:31.581Z",47
"ObjectId(""607820745e0fe5577e1383cb"")",10,"2021-04-15T11:16:04.723Z",47
"ObjectId(""607820c55e0fe5577e1383cd"")",10,"2021-04-15T11:17:25.428Z",48
